employee_id,age,gender,education,department,job_level,years_at_company,years_in_current_role,monthly_salary,overtime_hours_monthly,num_projects_completed,performance_rating,training_hours_yearly,work_life_balance_score,distance_from_home_km,num_companies_worked,job_satisfaction,relationship_with_manager,stock_option_level,attrition
1,38.0,Female,Master,IT,3,6.3,0.2,6072.54,11,7,2,39.0,5,4.4,3,3,5,3,0
2,32.0,Male,Bachelor,Finance,1,3.4,3.4,3058.51,15,6,3,57.1,4,4.5,2,4,4,2,0
3,24.0,Female,Bachelor,Engineering,1,0.8,0.8,9270.48,5,6,5,41.1,1,44.45,2,3,1,0,1
4,33.0,Male,Bachelor,Sales,5,0.2,0.2,7567.36,3,8,3,21.2,2,0.7,2,5,4,1,0
5,51.0,Male,Bachelor,Finance,3,3.8,3.8,5621.87,5,8,4,42.6,4,6.6,3,3,4,2,1
6,42.0,Female,PhD,Marketing,2,6.4,3.7,7543.33,13,10,3,74.1,5,3.3,2,3,2,3,1
7,60.0,Female,Bachelor,Marketing,1,0.5,0.5,5590.45,14,10,4,55.6,4,0.3,3,4,5,1,0
8,40.0,Female,Bachelor,Legal,1,0.5,0.5,10387.595,7,4,5,33.7,1,3.1,2,3,4,0,0
9,46.0,Female,High School,Legal,5,2.5,0.7,2727.61,10,3,3,36.3,2,29.2,2,2,5,0,0
10,47.0,Female,High School,Operations,2,1.2,1.2,5084.49,11,7,3,46.3,4,14.2,3,4,4,3,0
11,31.0,Female,High School,HR,1,12.3,0.3,2830.85,11,5,4,19.1,3,13.2,2,3,4,0,0
12,28.0,Female,High School,IT,5,3.3,3.3,4980.51,12,5,3,53.1,4,21.4,2,5,3,1,0
13,32.0,Female,Master,Marketing,2,2.0,2.0,3896.14,8,6,2,39.9,4,39.7,3,5,4,1,0
14,40.0,Male,Bachelor,IT,1,2.3,1.4,6713.46,11,5,3,12.7,3,15.0,1,3,5,0,1
15,57.0,Male,Bachelor,Sales,3,5.7,0.1,7738.66,9,7,4,28.4,2,7.0,3,3,5,3,0
16,51.0,Male,Master,Finance,3,1.9,1.2,10387.595,7,6,4,36.8,5,2.1,3,2,4,0,0
17,55.0,Female,Master,Sales,4,9.7,0.5,7489.25,8,5,4,19.2,3,3.9,3,5,4,2,0
18,43.0,Male,Master,IT,2,0.0,0.0,5433.9,6,9,3,39.0,5,6.1,4,2,5,2,0
19,57.0,Male,High School,Marketing,3,6.2,6.2,5863.86,5,7,3,45.7,4,5.8,4,3,2,1,0
